date,site_name,site_status
5/16/2018,N0573,"A50,A15,A41"
5/16/2018,N0574,"A8,on-air,A23,A113"
5/16/2018,N0575,A45
5/16/2018,N0576,"A60,A38,A74,A63,A87"
5/16/2018,N0577,"A38,A33,A14,A57,off-air"
5/16/2018,N0578,"A2,A74,off-air,A45,A41"
5/16/2018,N0579,"A93,A18"
5/16/2018,N0580,"A27,on-air,off-air,A1,A69,A16"
5/16/2018,N0581,"on-air,A77"
5/16/2018,N0582,"A55,A5,on-air,A23,A6,A65,A84,A39,A63,A19,A69,A31"
5/16/2018,N0583,"A29,A35"
5/16/2018,N0584,"A46,A108,A25"
5/16/2018,N0585,A34
5/16/2018,N0586,"A57,A35,A34"
5/16/2018,N0587,"A38,A47"
5/16/2018,N0588,"off-air,A28"
5/16/2018,N0589,"A11,A16,A77"
5/16/2018,N0590,"A2,A5,A56,A38,A11,on-air,A14,A21,A52,A54"
5/16/2018,N0591,"on-air,A36,A47,A35,A28"
5/16/2018,N0592,"A27,A46,A5,A38,on-air,A6,off-air,A35,A43"
5/16/2018,N0593,"A7,A13"
5/16/2018,N0594,"A67,off-air,A87"
5/16/2018,N0595,A45
5/16/2018,N0596,A45
5/16/2018,N0597,A45
5/16/2018,N0598,"A8,on-air,A75"
5/16/2018,N0599,"A55,A8,A11,on-air,A23,A20,A30,A21,A28"
5/16/2018,N0600,"A8,A14,A84,A91,A21"
5/16/2018,N0601,"A26,A50,A2,on-air"
5/16/2018,N0602,"A46,A110,A11,on-air,A6,off-air,A28,A16,A22,A32"
5/16/2018,N0603,A29
5/16/2018,N0604,A28
5/16/2018,N0605,"A5,A23,A6,off-air,A47,A21,A16,A76"
5/16/2018,N0606,A11
5/16/2018,N0607,"A26,A2,A23,off-air,A71,A1,A34,A37,A32"
5/16/2018,N0608,"A110,A55,A26,A2,A38,A11,on-air,A70"
5/16/2018,N0609,"A110,A50,A38,A33,on-air,A14,A32"
5/16/2018,N0610,"A21,A28,A77,A13,A32"
5/16/2018,N0611,off-air
5/16/2018,N0612,"A35,A45"
5/16/2018,N0613,"A55,on-air,A35"
5/16/2018,N0614,"A8,A90,A35,A87,A32"
5/16/2018,N0615,"A26,A2,A5,A6,A15,A74,off-air,A21,A111"
5/16/2018,N0616,"A26,A2,A56,A47,A30,A7"
5/16/2018,N0617,"off-air,A51"
5/16/2018,N0618,"A2,A5,A94,on-air,A14,A23,A57,A74,A85,A49"
5/16/2018,N0619,"A110,A26,A94,on-air,A39,off-air,A3,A24,A71,A7,A18"
5/16/2018,N0620,"A49,A35,A21"
5/16/2018,N0621,"A26,A2,A11,off-air"
5/16/2018,N0622,"A67,on-air,A20,A1"
5/16/2018,N0623,"A50,on-air,A71,,A113,A98,A75,A7,A16,A52,A32"
5/16/2018,N0624,"A26,A2,A11,A14,A90,A36,off-air,A1,A21,A31"
5/16/2018,N0625,"A26,A2,on-air,A63,off-air,A35,A109,A31"
5/16/2018,N0626,"A38,on-air,A37"
5/16/2018,N0627,"A2,A5,A60,A11,A74,A70,A31,A113,A17,A43,A93"
5/16/2018,N0628,"A6,A21"
5/16/2018,N0629,"A5,A38,A11,A57,A47,A75,A13"
5/16/2018,N0630,"A27,A38,A32"
5/16/2018,N0631,"A26,A11,on-air,A47,A35,A41,A59,A48"
5/16/2018,N0632,A48
5/16/2018,N0633,A45
5/16/2018,N0634,"off-air,A45"
5/16/2018,N0635,"A11,off-air,A10,A21,A28,A49,A42,A22,A43"
5/16/2018,N0636,"A50,A11,A6,off-air,A21"
5/16/2018,N0637,"A50,A2,A38,off-air,A98,A75,A21,A28,A31,A54"
5/16/2018,N0638,"A27,A46,A63,A28,A72,A48"
5/16/2018,N0639,A16
5/16/2018,N0640,"A5,A63,off-air,A35"
5/16/2018,N0641,A28
5/16/2018,N0642,"A27,A38,A86,A11,A20,A45"
5/16/2018,N0643,"A29,A50,A94,A57,A113,A28,A45,A108,A54,A93"
5/16/2018,N0644,"A7,A28"
5/16/2018,N0645,on-air
5/16/2018,N0646,A1
5/16/2018,N0647,"A5,A11"
5/16/2018,N0648,"A110,A11"
5/16/2018,N0649,"A9 ,A21,A45"
5/16/2018,N0650,A32
5/16/2018,N0651,"off-air,A35,A32"
5/16/2018,N0652,"A2,A11,on-air,A23,A6,A112,A31,A13"
5/16/2018,N0653,"on-air,off-air,A37"
5/16/2018,N0654,"A27,A2,A14,A15,off-air,A48"
5/16/2018,N0655,"A67,A11,A14,A57,A30,A28"
5/16/2018,N0656,"A27,A2,A16,A41"
5/16/2018,N0657,"A46,A86,A23,A6,A63,A7"
5/16/2018,N0658,A63
5/16/2018,N0659,"on-air,A63,off-air,A28"
5/16/2018,N0660,"off-air,A16,A32"
5/16/2018,N0661,"on-air,A65,A22"
5/16/2018,N0662,"A46,A38,A11,off-air,A28"
5/16/2018,N0663,"A23,A14,A6,A49"
5/16/2018,N0664,A21
5/16/2018,N0665,A26
5/16/2018,N0666,"A27,A50,on-air,off-air,A112,A7,A42,A22,,A32"
5/16/2018,N0667,"A29,A14,A32"
5/16/2018,N0668,"A46,A110,A5,A8,A35,A30,A7,A80,A18"
5/16/2018,N0669,"A55,on-air,A57,A49"
5/16/2018,N0670,"A6,A35,A7"
5/16/2018,N0671,"on-air,A90,A1,A66,A37,A25,A48"
5/16/2018,N0672,"A27,A67,on-air,A6,off-air,A35,A30,A28,A31,A54"
5/16/2018,N0673,"A26,on-air,A47,A22,A32"
5/16/2018,N0674,"A8,A11,A14,A9 ,off-air"
5/16/2018,N0675,"A46,on-air,off-air,A7,A22"
5/16/2018,N0676,"A35,A7"
5/16/2018,N0677,"A29,A26,A22"
5/16/2018,N0678,"A38,A11,on-air,A90,A74,A96,A39,A22"
5/16/2018,N0679,"on-air,A84,off-air"
5/16/2018,N0680,A37
5/16/2018,N0681,"off-air,A75"
5/16/2018,N0682,A116
5/16/2018,N0683,"A6,A83,A82"
5/16/2018,N0684,"A5,A23,A90,off-air,A28"
5/16/2018,N0685,A5
5/16/2018,N0686,"A23,A15,A58,A101"
5/16/2018,N0687,"A26,A56,A86,off-air"
5/16/2018,N0688,"on-air,A47,A91,A1,A21,A54,A32"
5/16/2018,N0689,"A55,A15,A21,A28,A45"
5/16/2018,N0690,"A11,A23,A6,A23,A1,A52"
5/16/2018,N0691,"off-air,A28,A31,A45,A87,A13,A48"
5/16/2018,N0692,"A27,A8,on-air,off-air"
5/16/2018,N0693,"A6,A52,A32,A48"
