date,site_name,site_status
5/16/2018,N0128,A34
5/16/2018,N0129,"A46,A14,off-air"
5/16/2018,N0130,A23
5/16/2018,N0131,"A27,A62"
5/16/2018,N0132,"on-air,A6,A49,A47,A48"
5/16/2018,N0133,A32
5/16/2018,N0134,"A56,A28"
5/16/2018,N0135,"A23,A24,A17"
5/16/2018,N0136,"A5,A11,A7"
5/16/2018,N0137,A28
5/16/2018,N0138,"off-air,A98"
5/16/2018,N0139,A45
5/16/2018,N0140,A45
5/16/2018,N0141,"A27,A46,on-air,off-air,A1"
5/16/2018,N0142,"A11,A49,A45"
5/16/2018,N0143,"on-air,A74"
5/16/2018,N0144,on-air
5/16/2018,N0145,"A2,A14,A9 ,A20,A71,A1,A32"
5/16/2018,N0146,"A27,off-air"
5/16/2018,N0147,"A27,A67,A8,A11,on-air,A99,A74,off-air,A30,A69"
5/16/2018,N0148,"A14,A6,A100,A28,A37"
5/16/2018,N0149,"A50,A2,A86,off-air,A21,A101"
5/16/2018,N0150,"A91,A102"
5/16/2018,N0151,"A11,on-air,A10,A103,A22,A48"
5/16/2018,N0152,"A46,A55,A2,A62,A20,A25,A80"
5/16/2018,N0153,off-air
5/16/2018,N0154,"A60,A11,A23,A62,A6,A54"
5/16/2018,N0155,"A38,A11,on-air,A6,A49,A99,A74,A31,A16"
5/16/2018,N0156,"A7,A48"
5/16/2018,N0157,A102
5/16/2018,N0158,"on-air,off-air,A30,A21,A28"
5/16/2018,N0159,"A5,A11,A33,on-air,A104"
5/16/2018,N0160,"A26,A94,A24,A93,A105"
5/16/2018,N0161,"on-air,A14,A62,off-air"
5/16/2018,N0162,"A27,A28,A72"
5/16/2018,N0163,"A5,A106,A21"
5/16/2018,N0164,A45
5/16/2018,N0165,"A107,A11,A74,A16"
5/16/2018,N0166,"A49,A28"
5/16/2018,N0167,"A50,A38,on-air"
5/16/2018,N0168,"on-air,A35,A13"
5/16/2018,N0169,"A107,A87,A48"
5/16/2018,N0170,A11
5/16/2018,N0171,"A67,A5,A11,on-air,A20,A47,A31,A16"
5/16/2018,N0172,A11
5/16/2018,N0173,"A23,A14,A41,A102"
5/16/2018,N0174,A16
5/16/2018,N0175,"A23,A62,A28,A41,A42,A103,A22,A48"
5/16/2018,N0176,"on-air,A9 ,A19"
5/16/2018,N0177,"on-air,A83"
5/16/2018,N0178,"A62,A73"
5/16/2018,N0179,"A46,A99,A7"
5/16/2018,N0180,"A11,A21,A42,A25,A48"
5/16/2018,N0181,"A67,on-air,off-air"
5/16/2018,N0182,"A11,A73"
5/16/2018,N0183,"A11,A21"
5/16/2018,N0184,"A28,A16,A87"
5/16/2018,N0185,"A94,A43"
5/16/2018,N0186,"A27,A67,A5,A8,A38,A11,on-air,A14,A23,A6,A57,A99,A90,A9 ,A84,A96,A63,A20,A30,A19,A31,A16,A42"
5/16/2018,N0187,"off-air,A45"
5/16/2018,N0188,"A23,A9 ,A3,A61,A103,A34,A48"
5/16/2018,N0189,"A27,A5,on-air,A64,A1,A48"
5/16/2018,N0190,A11
5/16/2018,N0191,A34
5/16/2018,N0192,"A23,A83,A17,A37,A48"
